"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"ACTA2",1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,55.5555555555556,100
"ADAMTS1",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22.2222222222222
"ATP6AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2M",0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,66.6666666666667
"BGN",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,66.6666666666667,100
"BHLHE40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAV1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,33.3333333333333,0
"CDKN2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2B",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222222222222
"COL1A1",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,88.8888888888889,100
"COL1A2",1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,44.4444444444444,77.7777777777778
"COL4A1",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,11.1111111111111,100
"COL5A1",0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,11.1111111111111,66.6666666666667
"CTGF",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,55.5555555555556,100
"DCN",0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,44.4444444444444
"EGR2",1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,33.3333333333333,77.7777777777778
"ELN",0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,77.7777777777778,44.4444444444444
"ENG",1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,77.7777777777778
"ETS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBLN1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,77.7777777777778,100
"FBN1",1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,44.4444444444444,66.6666666666667
"FGF2",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,22.2222222222222,44.4444444444444
"FN1",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,66.6666666666667
"GADD45B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUSB",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333
"HAS2",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,22.2222222222222,33.3333333333333
"ID1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA1",1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,44.4444444444444,55.5555555555556
"ITGA2",1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,11.1111111111111,77.7777777777778
"JUN",1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,77.7777777777778
"JUNB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOXL1",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,88.8888888888889,100
"LOXL2",0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,22.2222222222222,88.8888888888889
"LTBP2",1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,33.3333333333333,100
"MMP1",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,77.7777777777778,100
"MMP13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMP14",1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,88.8888888888889,77.7777777777778
"MMP2",0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,55.5555555555556
"NOX4",0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,22.2222222222222,22.2222222222222
"PDGFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMEPA1",0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,33.3333333333333,55.5555555555556
"PPIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP3CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSMD14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTEN",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,33.3333333333333,100
"RARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARG",1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,11.1111111111111,77.7777777777778
"RHOB",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"SERPINE1",0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,55.5555555555556,33.3333333333333
