"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"ACTA2",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,66.6666666666667,100
"ADAMTS1",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,33.3333333333333
"ATP6AP1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.1111111111111,22.2222222222222
"B2M",1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,88.8888888888889
"BGN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,77.7777777777778,100
"BHLHE40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAV1",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,66.6666666666667,11.1111111111111
"CDKN2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2B",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4444444444444
"COL1A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"COL1A2",1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,44.4444444444444,77.7777777777778
"COL4A1",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,33.3333333333333,100
"COL5A1",0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,22.2222222222222,77.7777777777778
"CTGF",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,55.5555555555556,100
"DCN",1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,66.6666666666667
"EGR2",1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,66.6666666666667,77.7777777777778
"ELN",1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88.8888888888889,77.7777777777778
"ENG",1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,88.8888888888889
"ETS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBLN1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,88.8888888888889,100
"FBN1",1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,55.5555555555556,77.7777777777778
"FGF2",1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,66.6666666666667,77.7777777777778
"FN1",0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,77.7777777777778
"GADD45B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUSB",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,88.8888888888889
"HAS2",1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,66.6666666666667,88.8888888888889
"ID1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA1",1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,66.6666666666667,66.6666666666667
"ITGA2",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,44.4444444444444,100
"JUN",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,88.8888888888889
"JUNB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.1111111111111,0
"LOXL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"LOXL2",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,33.3333333333333,100
"LTBP2",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,55.5555555555556,100
"MMP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"MMP13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMP14",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,100,88.8888888888889
"MMP2",1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,22.2222222222222,66.6666666666667
"NOX4",0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,55.5555555555556,44.4444444444444
"PDGFA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"PMEPA1",0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,55.5555555555556,55.5555555555556
"PPIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP3CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSMD14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTEN",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,33.3333333333333,100
"RARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARG",1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,11.1111111111111,88.8888888888889
"RHOB",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,11.1111111111111,33.3333333333333
"SERPINE1",1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,88.8888888888889,44.4444444444444
"SERPINE2",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,100,88.8888888888889
"SKI",1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,88.8888888888889
"SKIL",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333
"SMAD3",0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,22.2222222222222,55.5555555555556
"SMAD7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPARC",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,66.6666666666667,100
"TGFB1",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,100
"TGFBR1",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,44.4444444444444,100
"TGFBR2",1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,11.1111111111111,55.5555555555556
"THBS1",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,55.5555555555556,88.8888888888889
"THBS2",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,100,44.4444444444444
"TIMP1",1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,100,66.6666666666667
"TIMP3",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,100,88.8888888888889
"TP53BP1",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,33.3333333333333
"VCAN",1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,22.2222222222222,100
"VEGFA",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,88.8888888888889,100
"VIM",1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,33.3333333333333,66.6666666666667
