"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"ACTA2",1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,55.5555555555556,88.8888888888889
"ADAMTS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP6AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2M",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.2222222222222
"BGN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88.8888888888889,100
"BHLHE40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAV1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.1111111111111,11.1111111111111
"CDKN2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2B",0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,55.5555555555556
"COL1A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"COL1A2",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,77.7777777777778,100
"COL4A1",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,66.6666666666667,66.6666666666667
"COL5A1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"CTGF",1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,44.4444444444444,100
"DCN",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22.2222222222222
"EGR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELN",0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,66.6666666666667,33.3333333333333
"ENG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBLN1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.2222222222222
"FBN1",1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,66.6666666666667,66.6666666666667
