"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"ACTA2",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,77.7777777777778,100
"ADAMTS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP6AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2M",1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,22.2222222222222,66.6666666666667
"BGN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"BHLHE40",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"CAV1",1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,33.3333333333333,44.4444444444444
"CDKN2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2B",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,66.6666666666667
"COL1A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"COL1A2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"COL4A1",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,66.6666666666667,66.6666666666667
"COL5A1",0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,55.5555555555556,66.6666666666667
"CTGF",1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,66.6666666666667,100
"DCN",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,100,77.7777777777778
"EGR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELN",0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,66.6666666666667,33.3333333333333
"ENG",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22.2222222222222,11.1111111111111
"ETS1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.1111111111111,0
"FBLN1",0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,22.2222222222222,44.4444444444444
"FBN1",1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,66.6666666666667,88.8888888888889
"FGF2",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,44.4444444444444,100
"FN1",0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,55.5555555555556,11.1111111111111
"GADD45B",1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,22.2222222222222,55.5555555555556
"GUSB",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,22.2222222222222,22.2222222222222
"HAS2",0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,44.4444444444444,33.3333333333333
"ID1",1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22.2222222222222,33.3333333333333
"IL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA1",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,66.6666666666667,0
"ITGA2",1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,33.3333333333333,66.6666666666667
"JUN",0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,11.1111111111111,55.5555555555556
"JUNB",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22.2222222222222,22.2222222222222
"LARP6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22.2222222222222,0
"LOXL1",0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,33.3333333333333,22.2222222222222
"LOXL2",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,44.4444444444444
"LTBP2",0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,66.6666666666667,44.4444444444444
"MMP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"MMP13",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11.1111111111111,11.1111111111111
"MMP14",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,66.6666666666667,0
"MMP2",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,77.7777777777778,66.6666666666667
"NOX4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"PDGFA",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.1111111111111,33.3333333333333
"PMEPA1",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,44.4444444444444,100
"PPIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP3CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSMD14",1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11.1111111111111,44.4444444444444
"PTEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARG",0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,33.3333333333333,44.4444444444444
"RHOB",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,44.4444444444444,0
"SERPINE1",1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,33.3333333333333,88.8888888888889
"SERPINE2",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,88.8888888888889,88.8888888888889
"SKI",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22.2222222222222
"SKIL",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,44.4444444444444,22.2222222222222
"SMAD3",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4444444444444
"SMAD7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPARC",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,77.7777777777778,100
"TGFB1",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,33.3333333333333,22.2222222222222
"TGFBR1",1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,55.5555555555556,88.8888888888889
"TGFBR2",0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,11.1111111111111,77.7777777777778
"THBS1",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,33.3333333333333,100
